date,time,event,platform,ad_id,ad_cost_type,ad_cost
2019-04-01,2019-04-01 11:01:05,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:03:45,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 11:07:11,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 11:14:55,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:17:28,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:17:59,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:18:43,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:21:48,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:21:54,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 11:24:05,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 11:25:24,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:25:52,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:26:39,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 11:27:09,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:28:59,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:30:51,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:33:30,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:33:52,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:34:09,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 11:35:21,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:37:32,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:39:02,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:39:35,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:40:50,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:43:03,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:43:10,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:44:30,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:45:39,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 11:48:00,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:48:00,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:49:46,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:51:09,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:52:53,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 11:52:53,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:55:06,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:56:00,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 11:56:30,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 11:58:26,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 11:58:36,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 11:59:42,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 12:04:02,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:04:04,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 12:04:36,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 12:04:36,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:07:48,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:10:31,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:12:04,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:12:30,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:14:53,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:15:28,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 12:15:34,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:16:23,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:17:46,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:18:41,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:19:21,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:20:47,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:23:56,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:34:23,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:34:44,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:34:57,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:36:09,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 12:36:21,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 12:36:21,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:38:07,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:40:40,view,ios,121288,CPM,187.4
